Round,attacker,rival,PitLap,rival_pit_lap,k,gap_s,pair,age_old,tt,rival_age,rival_compound,same_compound,pos_before,rival_pos_before,out_lap,pos_after,rival_pos_after,won,pace_delta_s,step0_s,gain_by_k_s,gain_lap1_s,margin_s,margin_lap1_s,needs_them_out_for,call_ahead,extrapolating
9,RUS,VER,33,37,4,0.7509999999992942,HARD>MEDIUM,9.0,41.151167956974014,15.0,HARD,True,4,3,40,5,4,False,-0.16533333333333644,1.8658791821224492,8.377021356188674,2.1648555134996403,7.62602135618938,1.413855513500346,1.0,True,False
9,SAI,COL,19,20,1,3.030000000000655,MEDIUM>HARD,18.0,42.38816167194518,18.0,MEDIUM,True,13,12,24,13,11,False,0.24366666666666958,1.2835686988103239,1.408329760185822,1.408329760185822,-1.6216702398148328,-1.6216702398148328,,False,False
9,STR,PIA,17,35,18,1.5079999999998108,MEDIUM>HARD,16.0,42.42738693844639,14.0,HARD,False,20,19,39,20,15,False,3.660666666666671,1.2851033384130908,19.078438630871347,1.386308283964789,17.570438630871536,-0.12169171603502194,2.0,True,False
9,VER,RUS,16,21,5,0.8209999999999127,MEDIUM>HARD,15.0,42.409895835183086,15.0,MEDIUM,True,5,4,25,4,5,True,-0.08333333333334281,1.2844190208250097,6.622299364287708,1.4185934387941708,5.801299364287796,0.5975934387942581,1.0,True,False
10,ALB,HUL,17,19,2,5.018000000000029,MEDIUM>HARD,16.0,28.82221514524646,16.0,MEDIUM,True,11,10,22,14,11,False,0.9860000000000184,0.5895136129367422,1.4222532230886444,0.737844191829049,-3.5957467769113847,-4.28015580817098,,False,False
10,ALO,BOT,30,31,1,30.528000000000247,SOFT>HARD,10.0,30.359157736431055,28.0,HARD,False,19,18,34,19,18,False,4.277333333333331,0.5675703557498886,0.9249154103904439,0.9249154103904439,-29.603084589609804,-29.603084589609804,,False,False
10,GAS,LAW,13,14,1,1.4429999999993015,MEDIUM>HARD,12.0,28.758227962239896,12.0,MEDIUM,True,9,8,17,14,13,False,-0.4403333333333137,0.5864892580000135,0.7481786270346835,0.7481786270346835,-0.694821372964618,-0.694821372964618,,False,False
10,LAW,LIN,14,15,1,0.7749999999996362,MEDIUM>HARD,13.0,28.78745299798828,13.0,MEDIUM,True,8,7,19,12,11,False,-0.2780000000000058,0.5878705796489541,0.7462202511480333,0.7462202511480333,-0.02877974885160295,-0.02877974885160295,,False,False
10,LIN,NOR,15,29,14,2.7249999999994543,MEDIUM>HARD,14.0,28.802379262024022,14.0,HARD,False,7,6,32,9,7,False,1.4070000000000107,0.5885760696893391,6.334296509337609,0.7435860436528273,3.6092965093381544,-1.981413956346627,5.0,True,False
10,OCO,BEA,15,19,4,8.74499999999989,HARD>HARD,13.0,28.802379262024022,13.0,HARD,True,17,15,22,16,15,False,0.2676666666666705,0.9559422435208006,4.1966712523034335,1.1142919150198798,-4.548328747696457,-7.630708084980011,,False,False
11,ALB,GAS,25,37,12,11.685999999999694,MEDIUM>HARD,24.0,51.820956083905976,8.0,HARD,False,15,14,41,20,13,False,1.8246666666666869,1.6971168983926022,18.352230388240628,1.6369321298805672,6.666230388240933,-10.049067870119128,8.0,True,False
11,ALO,GAS,33,37,4,6.706000000000131,SOFT>MEDIUM,32.0,51.52215652634919,16.0,HARD,False,13,12,41,14,13,False,1.4853333333333438,1.0091271718123274,4.109732145225302,1.0861128167756973,-2.596267854774829,-5.619887183224433,,False,False
